TOTAL   PRIME*  BINS
32      31      32
64      61      32+32
128     127     32+32+64
256     251     32+32+64+128
512     509     32+32+64+128+256
1024    1021    32+32+64+128+256+512
2048    2039    32+32+64+128+256+512+1024
4096    4093    32+32+64+128+256+512+1024+2048
8192    8191    32+32+64+128+256+512+1024+2048+4096
16384   16381   32+32+64+128+256+512+1024+2048+4096+8192
32768   32749   32+32+64+128+256+512+1024+2048+4096+8192+16384
65536   65521   32+32+64+128+256+512+1024+2048+4096+8192+16384+32768
131072  131071  32+32+64+128+256+512+1024+2048+4096+8192+16384+32768+65536
262144  262139  32+32+64+128+256+512+1024+2048+4096+8192+16384+32768+65536+131072
524288  524287  32+32+64+128+256+512+1024+2048+4096+8192+16384+32768+65536+131072+262144
1048576 1048573 32+32+64+128+256+512+1024+2048+4096+8192+16384+32768+65536+131072+262144+524288

*varray doesn't actually use primes. Hasmap does tho.
