Number,Flags,Name,Description,args[0],args[1],args[2],args[3],args[4]
100,1,PoolExercise,"Get and release many objects from a pool",,,,,
200,1,PathCanonExamples,"Conanialize many path examples",tests/data/PathCanonExamples.data,,,,
300,1,HashmapExercise,"Put and get many objects from a hashmap",,,,,
400,1,LinkedlistExercise,"Insert and remove many objects from a linkedlist",,,,,
500,1,CsvExamples,"Parse CSV that uses the full range of the format",tests/data/CsvExamples.csv,tests/data/CsvExamples.trim,1,,
501,1,CsvExamples,"Parse CSV that uses the full range of the format",tests/data/CsvExamples.csv,tests/data/CsvExamples.notrim,0,,
510,1,CsvEol,"Parse CSV string without newline","one, two, three",,,,,
511,1,CsvEol,"Parse CSV string without newline","one, two, ""three""",,,,,
512,1,CsvEol,"Parse CSV string without newline","one, two,",,,,,
600,1,StackExercise,"Push and pop many objects from a stack",,,,,
700,1,VarrayOps,"Set some elements and confirm by iterating",,,,,
800,1,CfgOps,"Retrived and varify properties using cfg operations",tests/data/CfgOps.prp,,,,
802,1,CfgSuba,"User cfg from suba stack memory",tests/data/CfgSuba.prp,,,,
900,1,TcharAll,"Trival test of each string function",,,,,
901,1,TextTest,"Test text_{length,size,copy,...} functions",,,,,
5000,1,DomnodeLoadStore,"Load, inspect, store, compare",tests/data/xml.dat,tests/data/out1.xml,tests/data/out2.xml,,
5001,1,DomnodeOps,"Use some domnode functions",tests/data/xml.dat,tests/data/out.xml,,,
5600,1,BitsetOps,"Test bitset_* operations",,,,,,
