Performance with differnt MINSIZ values. Size is sizeof(struct cell) plus:
       time size     alloc    utilization
    0  7115 20916076 21138808 98.9
    2  6794 20917099 21145724 98.9
    4  6592 20917099 21153474 98.9
    8  6237 20915863 21167312 98.8
   16  5624 20915884 21205874 98.6
   32  5038 20916870 21302334 98.2
   64  4326 20916362 21567236 97.0
  128  3843 20917149 22240040 94.1
  256  3818 20915073 24038306 87.0
  512  3664 20910221 29348702 71.2

  0 7093 20916076 21138808 98.946
  2 6666 20917099 21145724 98.919
  4 6593 20917099 21153474 98.883
  8 6304 20915863 21167312 98.812
 16 5951 20915884 21205874 98.633
 32 5009 20916870 21302334 98.191
 64 4385 20916362 21567236 96.982
128 3905 20917149 22240040 94.052
256 3895 20915073 24038306 87.007
512 3730 20910221 29348702 71.248

4  6864 15365754 15582586 98.608  
8  5784 15367003 15600980 98.500
16 4981 15365982 15651878 98.173
32 4496 15366622 15801216 97.250
48 3841 15367499 16153098 95.137
64 3858 15367499 16153098 95.137
